"Name","Rank","Superkingdom","Kingdom","Phylum","Class","Order","Family","Genus","Species","LFQ intensity DMSO1","LFQ intensity DMSO2","LFQ intensity DMSO3","LFQ intensity Diclofenac1","LFQ intensity Diclofenac2","LFQ intensity Diclofenac3"
"Spirochaetales","Order","Bacteria","","Spirochaetes","Spirochaetia","Spirochaetales","","","","2.12089E7","2.33445E7","3.13659E7","2.2248E7","1.3162E7","1.6667E7"
"Spirochaetaceae","Family","Bacteria","","Spirochaetes","Spirochaetia","Spirochaetales","Spirochaetaceae","","","2.12089E7","2.33445E7","3.13659E7","2.2248E7","1.3162E7","1.6667E7"
"Serendipita indica","Species","Eukaryota","Fungi","Basidiomycota","Agaricomycetes","Sebacinales","","Serendipita","Serendipita indica","5895500.0","8332000.0","5384600.0","3.2015E7","0.0","3.5437E7"
"Coriobacteriaceae","Family","Bacteria","","Actinobacteria","Coriobacteriia","Coriobacteriales","Coriobacteriaceae","","","1.74203519E10","2.051279751E10","1.78503369E10","2.027376187E10","2.0492443E10","2.08897471E10"
"Alistipes","Genus","Bacteria","","Bacteroidetes","Bacteroidia","Bacteroidales","Rikenellaceae","Alistipes","","6.2200775E8","6.5067622E8","4.84899E8","2.319064E8","2.5453299E8","2.3793349E8"
"Slackia","Genus","Bacteria","","Actinobacteria","Coriobacteriia","Eggerthellales","Eggerthellaceae","Slackia","","0.0","1.6544E7","0.0","0.0","3.3943E7","3.3965E7"
"Eggerthella","Genus","Bacteria","","Actinobacteria","Coriobacteriia","Eggerthellales","Eggerthellaceae","Eggerthella","","3.527599E8","3.382307E8","3.76052E8","9.672E7","9.27909E7","6.67455E7"
"Bacillus sporothermodurans","Species","Bacteria","","Firmicutes","Bacilli","Bacillales","Bacillaceae","Bacillus","Bacillus sporothermodurans","0.0","7917100.0","1.0173E7","0.0","0.0","0.0"
"Eggerthella lenta","Species","Bacteria","","Actinobacteria","Coriobacteriia","Eggerthellales","Eggerthellaceae","Eggerthella","Eggerthella lenta","3.92667E7","4.33755E7","5.45331E7","2.60069E7","1.50424E7","1951200.0"
"Gordonibacter pamelaeae","Species","Bacteria","","Actinobacteria","Coriobacteriia","Eggerthellales","Eggerthellaceae","Gordonibacter","Gordonibacter pamelaeae","8.548015E8","7.135923E8","9.225244E8","3.10132E7","6.32914E7","5.02918E7"
"Aggregatibacter","Genus","Bacteria","","Proteobacteria","Gammaproteobacteria","Pasteurellales","Pasteurellaceae","Aggregatibacter","","0.0","0.0","1.2957E7","0.0","0.0","0.0"
"Ruminococcus lactaris","Species","Bacteria","","Firmicutes","Clostridia","Clostridiales","Ruminococcaceae","Ruminococcus","Ruminococcus lactaris","3.49877E7","3.02736E7","2.91946E7","3.64921E7","1.68191E7","1.75801E8"
"Lactobacillus curieae","Species","Bacteria","","Firmicutes","Bacilli","Lactobacillales","Lactobacillaceae","Lactobacillus","Lactobacillus curieae","0.0","0.0","0.0","0.0","4.4646E8","0.0"
